,date,open,high,low,close,volume
2240,2021-07-27 20:25:33.476829696,308.63,308.63,308.06,308.62,1026.81
2241,2021-07-27 20:25:37.593938688,308.63,308.63,308.06,308.62,1030.24
2242,2021-07-27 20:25:40.679445760,308.63,308.63,308.06,308.62,1032.91
2243,2021-07-27 20:25:44.793109248,308.63,308.63,308.06,308.63,1041.54
2244,2021-07-27 20:25:48.909918976,308.63,308.63,308.62,308.63,2.43
2245,2021-07-27 20:25:53.024534016,308.63,308.63,308.61,308.61,23.08
2246,2021-07-27 20:25:57.139889408,308.63,308.63,308.53,308.53,28.44
2247,2021-07-27 20:26:01.254562304,308.63,308.63,308.52,308.53,31.18
2248,2021-07-27 20:26:05.370914816,308.63,308.63,308.5,308.54,46.87
2249,2021-07-27 20:26:09.487912704,308.63,308.63,308.5,308.56,50.91
2250,2021-07-27 20:26:16.675963648,308.63,308.63,308.5,308.56,64.69
2251,2021-07-27 20:26:20.776345088,308.63,308.63,308.5,308.57,68.16
2252,2021-07-27 20:26:24.894193920,308.63,308.63,308.5,308.58,76.81
2253,2021-07-27 20:26:29.011719936,308.63,308.63,308.5,308.62,79.82
2254,2021-07-27 20:26:33.130203904,308.63,308.63,308.5,308.63,85.33
2255,2021-07-27 20:26:37.246146304,308.63,308.63,308.5,308.63,87.52
2256,2021-07-27 20:26:41.361206784,308.63,308.63,308.5,308.62,91.57
2257,2021-07-27 20:26:45.459470336,308.63,308.65,308.5,308.64,96.67
2258,2021-07-27 20:26:49.577111552,308.63,308.65,308.5,308.63,115.52
2259,2021-07-27 20:26:52.664492800,308.63,308.65,308.5,308.63,117.64
2260,2021-07-27 20:26:56.779997696,308.63,308.65,308.5,308.55,145.04
2261,2021-07-27 20:27:00.897598976,308.63,308.65,308.5,308.63,182.03
2262,2021-07-27 20:27:05.015822848,308.63,308.65,308.5,308.64,184.43
2263,2021-07-27 20:27:09.131209984,308.63,308.65,308.5,308.64,191.02
2264,2021-07-27 20:27:13.247936512,308.63,308.65,308.5,308.64,194.27
2265,2021-07-27 20:27:17.362518528,308.63,308.65,308.5,308.65,196.89
2266,2021-07-27 20:27:21.482425088,308.63,308.65,308.5,308.65,203.56
2267,2021-07-27 20:27:25.594387456,308.63,308.65,308.5,308.65,206.72
2268,2021-07-27 20:27:28.681201664,308.63,308.65,308.5,308.65,208.19
2269,2021-07-27 20:27:32.797908224,308.63,308.65,308.5,308.65,210.29
2270,2021-07-27 20:27:36.921213440,308.63,308.65,308.5,308.65,213.15
2271,2021-07-27 20:27:41.063869184,308.63,308.66,308.5,308.66,216.86
2272,2021-07-27 20:27:45.185947648,308.63,308.66,308.5,308.66,227.7
2273,2021-07-27 20:27:49.302728704,308.66,308.68,308.65,308.68,21.7
2274,2021-07-27 20:27:53.419486976,308.66,308.68,308.65,308.65,34.05
2275,2021-07-27 20:27:57.536783104,308.66,308.68,308.65,308.66,36.39
2276,2021-07-27 20:28:04.720737536,308.66,308.68,308.65,308.67,44.31
